n,TW_Grass,TW_Forest,HG_Grass,HG_Forest
1.0,-26.276257846739867,-51.943097522303795,-16.791805366505116,-29.043752216684993
2.0,-25.568051772779306,-49.069898506407576,-16.280971409171215,-28.87513664088994
3.0,-26.471015689491466,-51.991975643078945,-16.42366867552982,-28.648947939851396
4.0,-29.6357781937922,-56.16131971227069,-18.237540029752815,-32.56817970754978
5.0,-32.57205758874175,-60.679105730881645,-18.991569493975064,-35.14680601243815
6.0,-25.970040471668426,-49.96017509869808,-16.408645938113917,-28.972771222171026
7.0,-30.122392548749268,-56.75104911478939,-17.506873987154442,-31.11928661896398
8.0,-30.26939282786448,-57.36562379758259,-16.930259136137142,-30.542709316055443
9.0,-30.991936474781347,-58.39601654410028,-17.74362631353992,-32.10735604516965
10.0,-26.437614127911004,-51.57420560942016,-16.511034482631434,-28.876051862077425
11.0,-29.16040286401326,-55.03480352356296,-17.39045419138529,-30.71106794509916
12.0,-32.830701438456586,-62.30523054541361,-19.0328841798947,-35.02928435677907
13.0,-27.04784397982884,-52.091583132659835,-17.549154298827226,-30.10442124680932
14.0,-28.926802025648854,-55.0240071326573,-17.438842271659976,-30.61152287319989
15.0,-29.923766787135065,-55.56463749103885,-17.503458687486074,-32.335116273810215
16.0,-28.372258921664233,-53.48602760630571,-17.83286782144736,-31.392326311937705
17.0,-35.3501767559006,-65.88764117836033,-19.66890002348144,-35.26680007568755
18.0,-24.858242789575662,-48.502733081125754,-16.336653518514584,-28.251956818112667
19.0,-27.847865530357723,-52.646416094199864,-17.586006558944383,-30.769924085176424
20.0,-27.87525857191632,-53.03377663849989,-17.427155425406454,-30.50094979803589
21.0,-28.964756976662088,-54.581479186850345,-17.24449037022099,-30.615693328388737
22.0,-28.707134090080014,-54.07586393650204,-17.495628326155778,-30.826891079439257
23.0,-29.777189097686225,-56.44293258726779,-19.171075878000664,-35.16066895661697
24.0,-30.773131769371936,-56.734853555986206,-18.958959640518387,-34.90390712920183
25.0,-33.446547787513815,-63.414658745497746,-18.72091211057158,-34.818413032078396
26.0,-29.142934687892996,-54.94681019059212,-17.563614662318322,-30.810726103481805
27.0,-32.126869512561825,-59.47565795662096,-19.69551511660471,-36.18469847882467
28.0,-23.97434302929773,-46.238354399532824,-14.918939962659309,-26.20097298699006
29.0,-17.384264650688316,-33.124983004277716,-13.468116923013286,-20.672713411313563
30.0,-27.66876445380538,-53.034312242456124,-16.571930529502556,-29.39373551534417
31.0,-23.428370195286497,-45.19241675503511,-14.756865723591371,-25.96095470586188
32.0,-29.419809295228234,-56.447687622674465,-17.41893986915223,-30.372110244010074
33.0,-25.478120273479988,-49.11224842238348,-16.93332867278737,-29.53679361671708
34.0,-28.662947317574915,-53.79201780699052,-17.338855753786497,-30.83376450723595
35.0,-27.746847436145824,-52.34270083459809,-17.526532106360484,-30.715497662148373
36.0,-27.660774977079633,-52.80126872523671,-15.954291010868122,-28.887312801602747
37.0,-29.96504725783173,-55.31223317477165,-19.15719853772196,-35.119309611201935
38.0,-27.10517104791579,-51.51540842595129,-17.52959307127911,-30.600014586001862
39.0,-29.167260766613254,-55.748509860323395,-16.363516843922596,-29.740687736500075
40.0,-27.005909952090125,-52.22527160663457,-16.991449310222535,-29.21060744122563
41.0,-33.836808016721236,-62.746872891553984,-19.62439127503146,-35.12794725664863
42.0,-28.88740823266871,-56.23161977619486,-17.334280285316026,-29.585474489237384
43.0,-22.184999688132773,-43.604242436920416,-15.086986930283446,-26.085898659576955
44.0,-34.09734231761765,-64.17589709372223,-19.03080897880875,-34.63734030312966
45.0,-30.738345416899868,-57.12686101921549,-17.45328167328121,-32.731753314141415
46.0,-30.937571726240233,-57.32226469924999,-18.560882172848558,-34.56942856360421
47.0,-33.844993781510986,-63.49975254387357,-19.061261321221266,-35.22291189485245
48.0,-33.56690442900802,-62.306856763474784,-19.87050391295688,-35.46069793641472
49.0,-26.727461677112874,-50.645355026666934,-16.34899289950546,-29.664076323671356
50.0,-35.69790319472688,-64.90763898361249,-20.847551476078237,-37.26764789392972
51.0,-28.41098371232443,-54.0364825264696,-17.457706398858654,-30.65547506448182
52.0,-32.80011263494446,-62.319471399441824,-18.884819358197472,-34.96255231576376
53.0,-31.21220429972363,-57.79305080015318,-18.956965416303124,-34.97534635744872
54.0,-35.13236104772108,-63.47696316331411,-20.931785371460325,-37.31497350674179
55.0,-32.28739884181831,-59.73248919715203,-19.450142603113072,-35.342288545519544
56.0,-28.72785513129731,-53.06706558224069,-17.300899549753836,-31.743217486273572
57.0,-27.02754188438974,-51.5162882870413,-17.52992554208724,-30.456711374782877
58.0,-26.288505725439798,-51.03572390256867,-16.66577608669362,-29.36612193093312
59.0,-28.338949159130117,-53.25031855581017,-17.216197453563247,-30.91600165841478
60.0,-30.82803871349293,-58.07039079307958,-18.22858288034216,-33.53250138300694
61.0,-34.152749516706606,-62.832234131910155,-20.16097414131998,-36.74139325151685
62.0,-30.98379131368037,-58.619892098690826,-17.10335923287755,-30.91299803183055
63.0,-33.946886714123146,-61.75462368236743,-20.50322082255192,-36.874465818513215
64.0,-18.44077369423031,-35.74991236680651,-13.311643542507074,-20.635233664555706
65.0,-30.413692497598664,-56.27710844101469,-17.48711834316766,-32.334951569229986
66.0,-32.21509921935038,-59.566052536460404,-19.31719345517999,-35.606112501130816
67.0,-36.084092735865845,-67.56374073245982,-19.81259085514998,-36.476554626846
68.0,-16.9295329843729,-32.18220846220322,-13.556955816885317,-20.74952596239926
69.0,-25.828834845786275,-49.52854458335098,-16.869587792514224,-29.664701639423946
70.0,-24.6657427967193,-47.79968474072018,-15.731664292092091,-27.63317311858475
71.0,-26.349329798878482,-50.38433785277286,-15.566737641693486,-28.383280125051378
72.0,-27.545786676568376,-53.78913471726534,-16.45395960777385,-28.94088815773239
73.0,-17.406890539207975,-33.93890906663491,-13.477643417346602,-20.560751103513237
74.0,-19.896008938422515,-37.878259754537055,-13.171873759164672,-20.64648056481766
75.0,-32.415472759036376,-60.055592642262624,-19.31877672891781,-35.58422969680938
76.0,-30.741812555693514,-57.19148848483053,-19.131814709111755,-35.263680744260824
77.0,-30.1448476279671,-56.255210110381356,-19.256092191046836,-35.08403240324703
78.0,-24.819115198398595,-48.9910772310307,-16.452286089759205,-28.382540850187738
79.0,-36.43507782237676,-67.4739484939335,-20.120569115819873,-36.40597526809299
80.0,-28.02378717861086,-52.504387198181696,-17.47290613377112,-30.73326365857305
81.0,-28.11293536435744,-52.32613809955347,-17.14259486327703,-31.187244469192642
82.0,-34.54135708931979,-63.8724173748565,-19.883054606406922,-35.712453885314346
83.0,-32.2519105356563,-60.61513192023719,-18.17113556226421,-34.20528592594779
84.0,-31.06127182643464,-57.62586566831328,-18.697256573569362,-34.66001339802058
85.0,-27.866802191858785,-52.36683597221811,-17.08513556979394,-30.669502880367617
86.0,-34.965906725500794,-65.3623726981858,-19.3350631128357,-35.130591775755136
87.0,-24.79421956332351,-48.213665703553616,-15.870175280424633,-26.870414319568148
88.0,-33.33865647252367,-62.20955218779589,-19.20195093994308,-35.2007680379368
89.0,-26.53431540663974,-50.4508898167562,-16.994182495066415,-29.520297352267054
90.0,-22.055815083032137,-44.41925533000137,-15.566747053456053,-26.08008919914236
91.0,-31.8359124036559,-60.44434333851375,-17.9357235873575,-32.58101924533258
92.0,-28.648136329112873,-53.81665502444366,-17.068973683579653,-30.380586798354113
93.0,-33.26063839438138,-61.59140847480019,-19.37670207833432,-35.321369069889464
94.0,-28.602083681082227,-54.386365288213895,-16.12230903299188,-29.616314566283794
95.0,-27.5141580694063,-51.473667754649625,-17.44550438986161,-30.723490327780766
96.0,-17.683919079949288,-34.25088098743711,-13.117366205173887,-20.1580809788921
97.0,-25.458901586388414,-49.059770287904925,-16.379587702875682,-28.934565200092756
98.0,-28.092676839747366,-53.54477476030288,-16.462545143139366,-29.816144119573522
99.0,-27.225684671283332,-51.91545993989277,-17.058096191310824,-29.789797680473058
100.0,-35.189712777084225,-65.68051424995416,-19.634910047854703,-35.854837254728466
