,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
1300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2300,0.022181,0.022323,0.022465,0.022607,0.022749,0.022891,0.023033,0.023175,0.023317,0.023459,0.023601,0.023743,0.023885,0.024027,0.024169,0.024311,0.024453,0.024595,0.024737,0.024879,0.025021,0.025163,0.025305,0.025447,0.025589,0.025731,0.025873,0.026015,0.026157,0.023251,0.020344,0.017438,0.014532,0.011625,0.008719,0.005813,0.002906,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2500,0.045636,0.045513,0.04539,0.045267,0.045144,0.045021,0.044898,0.044775,0.044653,0.04453,0.044407,0.044284,0.044161,0.044038,0.043915,0.043792,0.043669,0.043546,0.043423,0.0433,0.043177,0.043054,0.042931,0.042808,0.042685,0.042562,0.042439,0.042317,0.042194,0.040475,0.038755,0.037036,0.035317,0.033598,0.031879,0.03016,0.028441,0.026722,0.025003,0.023284,0.021564,0.019845,0.018126,0.016407,0.014688,0.012969,0.01125,0.00969378,0.00862701,0.00748502,0.00702796,0.00664709,0.00663437,0.00663437,0.0065702,0.00653354,0.00646937,0.00618064,0.00593085,0.00575899,0.00558941,0.00538546,0.00509214,0.00492027,0.00470028,0.00433592,0.00406323,0.0037172,0.00339867,0.00300452,0.00250038,0.00209019,0.00158604,0.00109794,0.00060755,8.049e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2700,0.181967,0.180584,0.179202,0.177819,0.176437,0.175054,0.173672,0.172289,0.170907,0.169524,0.168142,0.166759,0.165377,0.163994,0.162612,0.161229,0.159847,0.158464,0.157082,0.155699,0.154317,0.152935,0.151552,0.15017,0.148787,0.147405,0.146022,0.14464,0.143257,0.140246,0.137235,0.134224,0.131213,0.128202,0.12519,0.122179,0.119168,0.116157,0.113146,0.110135,0.107124,0.104112,0.101101,0.09809,0.095079,0.092068,0.089057,0.08864042,0.08749637,0.0847625,0.08325692,0.08074877,0.07834897,0.07557934,0.07237784,0.06879097,0.06468424,0.06030841,0.05668259,0.05358701,0.04964043,0.04181947,0.03468625,0.02869333,0.02228339,0.01719678,0.01368697,0.01204303,0.01009565,0.00918649,0.00866076,0.00804763,0.00747707,0.00695683,0.00653122,0.00631142,0.0058491,0.00540954,0.00499528,0.0045826,0.00429483,0.00391535,0.00348844,0.00308208,0.0027532,0.00235159,0.00176024,0.00134123,0.00080838,0.00021545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2900,0.393579,0.390923,0.388266,0.385609,0.382952,0.380295,0.377638,0.374981,0.372324,0.369668,0.367011,0.364354,0.361697,0.35904,0.356383,0.353726,0.351069,0.348413,0.345756,0.343099,0.340442,0.337785,0.335128,0.332471,0.329814,0.327158,0.324501,0.321844,0.319187,0.316042,0.312897,0.309752,0.306607,0.303462,0.300317,0.297172,0.294027,0.290882,0.287737,0.284592,0.281447,0.278302,0.275157,0.272012,0.268867,0.265722,0.262577,0.25803785,0.25714736,0.2511168,0.24940814,0.24526797,0.24234859,0.23872179,0.23395371,0.22928094,0.22276832,0.21501691,0.20717557,0.20212408,0.19667014,0.1905553,0.18407863,0.17798888,0.17162308,0.16614648,0.15918422,0.15237466,0.14469084,0.13355807,0.12335826,0.11252792,0.10563608,0.09727671,0.08851446,0.08038113,0.06723758,0.05389028,0.04659763,0.04482554,0.04212889,0.0395866,0.03717259,0.03554496,0.03383188,0.03247142,0.03126507,0.03037187,0.03001903,0.02961296,0.02872089,0.02797774,0.02706111,0.0261889,0.02509954,0.02379638,0.02286768,0.02196775,0.02142697,0.02023301,0.01953803,0.01831585,0.01731495,0.01637344,0.01575642,0.01414516,0.0133581,0.01248564,0.01165402,0.0108948,0.01009659,0.00935779,0.00875449,0.00830898,0.00753306,0.00702072,0.00545958,0.00413419,0.00284778,0.00211825,0.00147969,0.00060167,9.119e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3100,0.586492,0.584281,0.582069,0.579858,0.577647,0.575436,0.573225,0.571013,0.568802,0.566591,0.56438,0.562168,0.559957,0.557746,0.555535,0.553324,0.551112,0.548901,0.54669,0.544479,0.542268,0.540056,0.537845,0.535634,0.533423,0.531212,0.529,0.526789,0.524578,0.522757,0.520936,0.519115,0.517294,0.515473,0.513652,0.511831,0.510009,0.508188,0.506367,0.504546,0.502725,0.500904,0.499083,0.497262,0.495441,0.49362,0.491798,0.49008878,0.49065507,0.48683601,0.4858104,0.48220676,0.47976743,0.47676033,0.47291946,0.47022845,0.4661594,0.46116259,0.45288163,0.44775058,0.44226395,0.43717071,0.43146783,0.42440859,0.41916602,0.41291986,0.40598836,0.40089991,0.39428807,0.38741476,0.37964854,0.36920495,0.36272264,0.35372371,0.34464693,0.33540837,0.32562362,0.31672183,0.29778877,0.28847151,0.27234987,0.25913825,0.24640744,0.23297551,0.21953761,0.2058113,0.19101833,0.17756777,0.16484009,0.15158348,0.14399849,0.13296649,0.12404918,0.11531303,0.10422747,0.09697741,0.08971858,0.08354567,0.07787171,0.07198998,0.06751734,0.06218793,0.05978012,0.05735613,0.05525104,0.05217406,0.05133404,0.04851055,0.04700483,0.04529046,0.04387588,0.04245037,0.04170277,0.04032047,0.03949526,0.03818652,0.03668931,0.03519413,0.03344259,0.03240739,0.03169407,0.03079234,0.02984384,0.02815654,0.02683317,0.0258954,0.02468036,0.02427235,0.02376538,0.02249463,0.02155376,0.02119781
3300,0.693563,0.691502,0.689441,0.68738,0.685319,0.683257,0.681196,0.679135,0.677074,0.675013,0.672952,0.670891,0.66883,0.666769,0.664707,0.662646,0.660585,0.658524,0.656463,0.654402,0.652341,0.65028,0.648218,0.646157,0.644096,0.642035,0.639974,0.637913,0.635852,0.634051,0.63225,0.63045,0.628649,0.626849,0.625048,0.623247,0.621447,0.619646,0.617845,0.616045,0.614244,0.612444,0.610643,0.608842,0.607042,0.605241,0.60344,0.60153344,0.60354489,0.60233128,0.60188982,0.60101295,0.60017892,0.59910643,0.59780453,0.59671257,0.59511349,0.5933962,0.59112256,0.58951287,0.58688685,0.58419257,0.58122872,0.57835924,0.57575376,0.57314756,0.57001601,0.56775906,0.56461552,0.56117391,0.55733028,0.55290583,0.55001175,0.54604943,0.54131077,0.53591376,0.52928592,0.523658,0.51473875,0.5083697,0.4968562,0.48920896,0.48088363,0.47172467,0.46271294,0.45509597,0.44572106,0.43601323,0.42778643,0.41816071,0.41281673,0.40376365,0.39709851,0.38953162,0.379814,0.37237442,0.36568133,0.35977009,0.35471811,0.3482297,0.34396715,0.33615301,0.31579032,0.30752421,0.30363796,0.29648601,0.29487793,0.28700872,0.28367719,0.28076364,0.27741134,0.27328345,0.2722158,0.26819696,0.26724645,0.26259696,0.25969736,0.25444813,0.24463245,0.238915,0.23711212,0.2344261,0.22547388,0.21728677,0.21295129,0.21025161,0.2069095,0.20685885,0.20593217,0.1965419,0.1926336,0.19132919
3500,0.921884,0.919962,0.91804,0.916118,0.914196,0.912274,0.910353,0.908431,0.906509,0.904587,0.902665,0.900743,0.898821,0.896899,0.894977,0.893055,0.891134,0.889212,0.88729,0.885368,0.883446,0.881524,0.879602,0.87768,0.875758,0.873837,0.871915,0.869993,0.868071,0.866735,0.8654,0.864065,0.862729,0.861394,0.860059,0.858723,0.857388,0.856052,0.854717,0.853382,0.852046,0.850711,0.849375,0.84804,0.846705,0.845369,0.844034,0.8452611,0.84861216,0.84781459,0.84783711,0.84655161,0.84596464,0.84524523,0.84364597,0.84225472,0.84112387,0.83993231,0.83783745,0.83692379,0.83627622,0.83592655,0.8354197,0.83506014,0.83485567,0.83448384,0.8342517,0.83413022,0.83401408,0.83381991,0.83356349,0.83323357,0.83306599,0.83288968,0.83270251,0.83250926,0.83228067,0.83189867,0.83162005,0.8313425,0.83114895,0.83100219,0.83071506,0.83044176,0.83022057,0.82995046,0.82955273,0.82927092,0.82891255,0.82851376,0.82806925,0.82731864,0.82639062,0.8254821,0.82435717,0.82300413,0.82207221,0.82112469,0.82058075,0.81932909,0.81860383,0.81732488,0.81627598,0.81528947,0.81464609,0.8130259,0.81361715,0.81270083,0.81182739,0.81103,0.81019166,0.80941571,0.80988525,0.80939471,0.80885582,0.80806477,0.80638903,0.80492478,0.80328464,0.80182122,0.80511329,0.80574967,0.80496064,0.80400402,0.80210414,0.80090729,0.79937311,0.80427928,0.81364061,0.81234401,0.79297778,0.78694197
3700,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999889,0.999778,0.999668,0.999557,0.999446,0.999335,0.999224,0.999114,0.999003,0.998892,0.998781,0.998671,0.99856,0.998449,0.998338,0.998227,0.998117,0.998006,0.99999883,0.99999883,0.99999883,0.99999883,0.99999883,0.99999883,0.99999883,0.99999883,0.99999883,0.99999883,0.99999883,0.99999883,0.99999883,0.99999883,0.99999883,0.99999883,0.99999883,0.99999883,0.99999883,0.99999883,0.99999883,0.99999883,0.99999883,0.99999883,0.99999883,0.99999883,0.99999883,0.99999883,0.99999883,0.99999883,0.99999883,0.99999883,0.99999883,0.99999883,0.99999883,0.99999883,0.99999883,0.99999883,0.99999883,0.99999883,0.99999883,0.99999883,0.99999883,0.99999883,0.99999883,0.99999883,0.99999883,0.99999883,0.99999883,0.99999883,0.99999883,0.99999883,0.99999883,0.99999883,0.99999883,0.99999883,0.99999883,0.99999883,0.99999883,0.99999883,0.99999883,0.99999883,0.99999883,0.99999883,0.99999883,0.99999883,0.99999883,0.99999883,0.99999883,0.99999883,0.99999883,0.99999883,0.99999883,0.99999883,0.99999883,0.99999883,0.99999883,0.99999883,0.99999883,0.99999883,0.99999883,0.99999883,0.99999883,0.99999883,0.99999883
